날짜	상영횟수	좌석수	매출액	관객수	누적매출액	누적관객수	
2022-07-25	30	6,955	52,201,000	6,973	52,201,000	6,973	
2022-07-26	24	4,703	41,437,000	4,517	93,638,000	11,490	
2022-07-30	9	2,392	25,303,600	2,077	118,941,600	13,567	
2022-07-31	11	2,484	28,548,316	2,196	147,489,916	15,763	
2022-08-01	31	7,755	73,157,300	4,885	220,647,216	20,648	
2022-08-02	7	1,888	26,522,000	1,681	247,169,216	22,329	
2022-08-03	7,374	1,149,189	3,328,192,755	336,746	3,575,361,971	359,075	
2022-08-04	7,449	1,166,183	2,023,498,360	222,120	5,598,860,331	581,195	
2022-08-05	7,281	1,138,378	2,094,794,151	213,574	7,693,654,482	794,769	
